Member_number,itemDescription
4563,other vegetables
4555,pip fruit
4160,rolls/buns
2006,coffee
3120,grapes
3750,yogurt
4985,hard cheese
2108,yogurt
2072,root vegetables
2391,yogurt
1047,soda
2464,other vegetables
2029,rolls/buns
3704,mustard
1807,other vegetables
2337,hard cheese
4614,whole milk
4105,root vegetables
2600,fruit/vegetable juice
4335,bottled water
4582,other vegetables
3306,frozen vegetables
4789,shopping bags
4744,soda
3029,butter milk
1144,whipped/sour cream
2273,root vegetables
1475,canned beer
1173,rolls/buns
2148,hard cheese
3334,whole milk
2200,white bread
3973,hygiene articles
2695,UHT-milk
3053,chocolate
2964,tropical fruit
2494,butter
1603,domestic eggs
1264,semi-finished bread
2809,other vegetables
3180,domestic eggs
4539,bottled water
2990,canned beer
1969,frozen vegetables
1191,specialty chocolate
2690,soda
3803,pip fruit
3999,whipped/sour cream
3677,napkins
1168,UHT-milk
1324,salt
3829,chewing gum
2664,domestic eggs
3002,white bread
4305,other vegetables
2633,whole milk
1120,newspapers
2870,pastry
2977,pastry
2135,cream cheese 
4460,dessert
2961,white bread
2109,sugar
1023,yogurt
2645,processed cheese
2910,cat food
3251,rolls/buns
2309,shopping bags
2553,pip fruit
4100,pastry
2580,newspapers
4628,bottled beer
1073,pip fruit
1459,curd
3752,spread cheese
4655,pip fruit
2484,UHT-milk
4990,salty snack
2356,butter
3476,domestic eggs
4643,brown bread
3287,rolls/buns
3468,tropical fruit
2779,cake bar
3811,yogurt
3122,pip fruit
2874,bottled water
3148,UHT-milk
4359,newspapers
4510,pastry
3298,prosecco
3285,whipped/sour cream
4752,dessert
4741,whole milk
3557,whole milk
4328,tropical fruit
1052,yogurt
1719,other vegetables
1360,white bread
1299,salty snack
4260,margarine
1785,brown bread
3835,soda
1720,whole milk
1872,fruit/vegetable juice
1406,whipped/sour cream
3560,coffee
4628,yogurt
2692,UHT-milk
4843,whole milk
4395,whole milk
1196,rolls/buns
1076,butter
3519,whole milk
1335,yogurt
4988,other vegetables
4437,other vegetables
2262,hygiene articles
4320,canned beer
1155,pet care
3101,soda
2433,root vegetables
2051,whole milk
3144,curd
2000,hamburger meat
2427,UHT-milk
2916,domestic eggs
1609,chocolate
2982,yogurt
1804,whole milk
4997,curd
2789,other vegetables
2512,bottled water
2641,frozen fruits
2102,other vegetables
2979,ice cream
3685,dessert
2918,ice cream
4640,coffee
1149,chicken
4608,canned beer
3794,berries
3014,margarine
2083,whole milk
1656,whole milk
1482,cream cheese 
3050,sliced cheese
3882,other vegetables
2618,newspapers
4888,beverages
2523,semi-finished bread
4633,brown bread
2440,UHT-milk
2100,specialty cheese
3691,candy
4499,frozen vegetables
2370,chewing gum
3831,domestic eggs
4744,salty snack
4919,root vegetables
4876,soda
1296,hard cheese
4845,beef
4606,whole milk
1438,cream cheese 
2777,soda
4220,detergent
1943,other vegetables
3535,liquor (appetizer)
2194,dessert
2326,misc. beverages
4189,snack products
1023,rolls/buns
3886,butter milk
1443,cream cheese 
1395,root vegetables
1291,domestic eggs
1374,pip fruit
4015,soft cheese
3009,frozen vegetables
2961,mayonnaise
3260,whole milk
1793,white wine
2985,soda
1205,yogurt
1116,rolls/buns
1633,whole milk
3600,frozen vegetables
4740,margarine
2677,root vegetables
1540,beverages
4323,grapes
4320,onions
1363,butter
1761,cream cheese 
1733,organic sausage
1994,yogurt
4300,oil
4298,root vegetables
1097,soda
3766,tropical fruit
2348,root vegetables
4588,pastry
3784,spread cheese
2787,rolls/buns
2056,pastry
3986,whole milk
3861,bottled water
1094,misc. beverages
4743,bottled beer
3543,cat food
4914,whole milk
2004,other vegetables
4171,chewing gum
3041,hard cheese
1324,white wine
1524,cream cheese 
4260,canned beer
1494,herbs
2521,bottled water
2225,brown bread
3486,pip fruit
1422,rolls/buns
3082,tropical fruit
1114,dessert
4773,yogurt
1939,sliced cheese
2723,yogurt
1361,rolls/buns
2294,rolls/buns
3915,pip fruit
3579,herbs
2051,brown bread
2113,whole milk
1909,margarine
2328,other vegetables
2948,hard cheese
3504,dish cleaner
3069,tropical fruit
2142,UHT-milk
4411,beverages
1993,root vegetables
4579,whole milk
1177,brown bread
2499,frozen vegetables
4427,root vegetables
2883,bottled water
1242,bottled beer
3409,brown bread
1307,baking powder
3507,frozen vegetables
2606,rolls/buns
3048,tidbits
2007,brown bread
3072,pickled vegetables
3354,other vegetables
3656,yogurt
4417,tropical fruit
3296,specialty bar
1323,beef
1754,pip fruit
3872,whole milk
3691,butter
1218,whole milk
1381,domestic eggs
4550,other vegetables
1377,bottled water
4388,sauces
2157,newspapers
3321,bottled beer
3205,butter
4444,UHT-milk
2348,root vegetables
4275,chocolate
3664,brown bread
1627,other vegetables
1641,pork
1461,margarine
4266,root vegetables
2754,fruit/vegetable juice
3117,other vegetables
1654,frozen potato products
1154,whole milk
1333,curd
2188,rolls/buns
4679,other vegetables
2495,soda
4117,tropical fruit
4035,canned beer
1500,soda
4357,canned beer
1199,white bread
4467,whole milk
4220,whole milk
4376,jam
4190,fruit/vegetable juice
4501,pork
1454,coffee
3922,rolls/buns
3586,beverages
2139,yogurt
2475,soda
3419,curd
2518,rolls/buns
1690,frozen vegetables
1281,oil
2176,long life bakery product
2787,UHT-milk
3460,whole milk
3224,bottled water
1540,root vegetables
3942,other vegetables
2939,bottled water
3807,seasonal products
3380,pip fruit
1785,whole milk
2625,baking powder
1828,bottled water
4225,root vegetables
1646,butter
1412,cream cheese 
1892,yogurt
2535,other vegetables
4107,dog food
1452,soda
4853,house keeping products
2196,other vegetables
1026,root vegetables
3879,whipped/sour cream
4967,other vegetables
3408,rolls/buns
3732,white wine
1040,onions
2612,frozen meals
1137,other vegetables
4223,herbs
3832,whole milk
2179,whole milk
2604,other vegetables
2238,whole milk
2589,other vegetables
2402,bottled water
4130,root vegetables
4841,yogurt
1734,pork
3748,butter milk
1021,yogurt
1104,rolls/buns
2613,soda
4204,rolls/buns
2022,white wine
2242,butter
4352,margarine
1945,tropical fruit
1427,other vegetables
3709,pastry
1349,domestic eggs
4691,other vegetables
1465,other vegetables
2867,other vegetables
2381,salt
2471,hamburger meat
3252,bottled water
4077,curd cheese
2359,other vegetables
4430,tropical fruit
3456,root vegetables
2563,chicken
2386,curd
4909,domestic eggs
1014,bottled beer
1389,tropical fruit
4800,soda
1069,sliced cheese
1833,whole milk
4028,napkins
3919,margarine
3086,brown bread
2708,frozen meals
3513,condensed milk
3774,beef
4827,bottled water
4213,chicken
4536,bottled beer
1489,soda
2005,male cosmetics
2429,whole milk
2721,root vegetables
3909,flour
4808,semi-finished bread
4024,margarine
2855,herbs
4881,whipped/sour cream
1214,yogurt
1608,whole milk
1724,pip fruit
1911,tropical fruit
3881,other vegetables
1780,whole milk
4675,other vegetables
3497,whole milk
1000,semi-finished bread
3955,canned beer
4232,pip fruit
3472,other vegetables
4217,yogurt
3778,citrus fruit
2666,dessert
3518,fruit/vegetable juice
4525,citrus fruit
2975,grapes
1339,whole milk
2001,other vegetables
2091,pastry
2453,whole milk
4681,soda
2618,yogurt
3389,root vegetables
3044,root vegetables
3039,candles
4563,canned beer
2683,soda
4063,pastry
3014,newspapers
4356,whole milk
3050,white bread
3613,root vegetables
3152,semi-finished bread
4187,canned vegetables
2001,other vegetables
1584,curd
1475,frozen meals
4942,specialty chocolate
2083,ice cream
4685,hard cheese
2070,citrus fruit
2657,dessert
4012,butter
2698,yogurt
2222,pork
2421,other vegetables
2410,other vegetables
2728,whole milk
4810,newspapers
1391,chocolate
2167,newspapers
3048,bottled beer
3876,butter milk
3937,salty snack
1167,domestic eggs
4031,other vegetables
2946,napkins
2672,liquor (appetizer)
3529,pork
3986,citrus fruit
3312,whole milk
2392,butter
1756,other vegetables
2875,soda
3871,tropical fruit
4512,beef
2426,chewing gum
3728,ice cream
1093,domestic eggs
3322,citrus fruit
1386,soda
3429,sparkling wine
1932,pip fruit
1865,butter milk
4672,other vegetables
4432,female sanitary products
2129,pork
1104,yogurt
3529,beverages
3271,yogurt
1002,specialty chocolate
2184,misc. beverages
4648,yogurt
3595,zwieback
2752,berries
4101,red/blush wine
1793,berries
4224,pastry
2846,instant coffee
1697,other vegetables
3884,rolls/buns
2669,onions
4843,yogurt
1663,tropical fruit
4169,canned beer
2799,yogurt
2178,female sanitary products
3312,brown bread
3609,liquor
1004,hygiene articles
2401,white bread
4165,roll products 
2017,chocolate
2485,dog food
2261,packaged fruit/vegetables
1437,coffee
4065,other vegetables
1904,yogurt
4573,packaged fruit/vegetables
4233,coffee
3928,domestic eggs
4916,newspapers
2883,yogurt
2938,tropical fruit
1063,candy
3365,other vegetables
2795,white bread
1336,frozen meals
2937,other vegetables
3391,coffee
3719,beverages
3986,citrus fruit
2757,white bread
1783,UHT-milk
4234,rolls/buns
3484,rolls/buns
3337,yogurt
2472,processed cheese
1355,sugar
3072,ham
1817,hamburger meat
2063,soups
4216,pork
2984,mustard
3365,domestic eggs
2260,soda
4798,cream cheese 
4952,soda
4778,packaged fruit/vegetables
1517,bottled beer
2433,whole milk
3938,other vegetables
2569,beverages
2092,rum
3174,frozen dessert
4513,dishes
2467,liquor
3508,curd
1939,tropical fruit
1636,whole milk
2443,pastry
4911,rolls/buns
3835,pickled vegetables
2363,pastry
2344,other vegetables
3911,pet care
1450,coffee
3495,whole milk
1625,root vegetables
3265,packaged fruit/vegetables
3247,sliced cheese
1777,fruit/vegetable juice
1862,napkins
2942,whole milk
2932,whole milk
4049,citrus fruit
1954,onions
2321,long life bakery product
2930,pastry
3214,brown bread
4877,sliced cheese
1277,white bread
2239,canned fruit
4929,bottled water
1390,dental care
1870,popcorn
3405,canned fish
2338,curd
2051,pip fruit
3504,sugar
3405,whole milk
2512,fruit/vegetable juice
4038,processed cheese
1759,whole milk
2813,cake bar
3055,soda
1733,yogurt
1913,curd
4864,hygiene articles
4812,whole milk
3042,frozen meals
4988,make up remover
4486,bottled beer
4069,soda
4600,fruit/vegetable juice
3588,seasonal products
4175,other vegetables
2599,cake bar
4671,instant coffee
2270,long life bakery product
2494,canned fish
1406,misc. beverages
3910,rolls/buns
3358,whole milk
1943,whole milk
1995,rolls/buns
4666,long life bakery product
1994,waffles
4892,cat food
3531,canned beer
1148,white bread
1787,whole milk
4215,mustard
2158,whole milk
2510,cling film/bags
3180,tropical fruit
3207,chocolate
1226,soda
1682,domestic eggs
1509,yogurt
2364,onions
4679,pastry
4324,whole milk
3497,yogurt
1008,yogurt
4572,coffee
4030,domestic eggs
2422,white bread
2694,hard cheese
3481,curd
3821,herbs
3752,soda
3262,yogurt
1370,newspapers
1090,yogurt
3862,rolls/buns
4495,domestic eggs
2492,other vegetables
4688,canned beer
3633,brown bread
3709,yogurt
1220,rice
4236,brown bread
3308,soft cheese
1183,cream cheese 
1999,shopping bags
4828,canned beer
3608,other vegetables
3983,butter
3460,canned vegetables
1703,canned beer
3002,coffee
4836,specialty chocolate
1561,flower (seeds)
4731,napkins
3812,whole milk
2097,newspapers
4986,frozen meals
4742,tropical fruit
2502,sauces
1135,soda
2403,pip fruit
4234,canned vegetables
4068,butter
2311,domestic eggs
1353,tropical fruit
3251,chocolate
1748,beverages
1638,candles
2170,frozen potato products
3903,dessert
1245,canned fruit
3237,frozen vegetables
2843,onions
3095,whole milk
4076,detergent
1298,soda
4591,onions
3592,canned beer
1305,white wine
4326,liquor
3189,root vegetables
1991,specialty bar
2091,candy
3100,waffles
4984,yogurt
4444,root vegetables
4678,whole milk
1670,pickled vegetables
3214,whipped/sour cream
2772,soft cheese
4343,brown bread
4351,prosecco
1598,white bread
4469,root vegetables
1788,citrus fruit
3768,root vegetables
4661,rolls/buns
3801,tropical fruit
4109,pip fruit
2485,dessert
2365,yogurt
2602,tropical fruit
2391,other vegetables
3483,hard cheese
2512,cream cheese 
2652,pastry
1777,pip fruit
4007,white bread
2653,candy
2703,canned beer
4322,yogurt
2270,dish cleaner
2306,grapes
1539,whipped/sour cream
2517,syrup
3254,soda
1711,citrus fruit
2560,frozen meals
4891,whole milk
1622,tropical fruit
1028,canned beer
1416,zwieback
1037,yogurt
4293,whole milk
3054,whole milk
4467,pork
4811,rolls/buns
4749,root vegetables
1825,baking powder
4685,whole milk
3621,bottled water
3219,other vegetables
1444,other vegetables
1698,yogurt
3328,napkins
3704,white wine
4124,mustard
4357,brown bread
2073,canned fish
4192,coffee
3890,white bread
3147,vinegar
4550,other vegetables
3183,rolls/buns
1878,onions
2523,margarine
2227,whole milk
2267,oil
4806,tropical fruit
2422,misc. beverages
1164,root vegetables
3096,yogurt
1821,napkins
2298,newspapers
4515,yogurt
3079,soda
3352,sugar
1545,frozen vegetables
2999,butter milk
1230,pastry
2578,tropical fruit
4611,whole milk
3575,whole milk
2517,salt
2471,onions
2560,bottled water
4492,frozen meals
1217,dog food
2950,bottled water
4337,tropical fruit
2599,curd
2924,yogurt
3734,rolls/buns
3985,canned beer
1823,pastry
1722,pastry
3818,curd
4924,other vegetables
3194,UHT-milk
2156,pip fruit
3182,rice
2902,whole milk
3450,shopping bags
4262,pip fruit
1276,cream cheese 
2184,rolls/buns
1670,pork
1198,specialty chocolate
1858,butter milk
1404,canned beer
2899,fruit/vegetable juice
2057,soda
2799,pickled vegetables
4913,other vegetables
2413,rolls/buns
4819,soda
3014,berries
1419,hygiene articles
2589,fruit/vegetable juice
3648,soda
1349,hard cheese
2706,newspapers
1144,domestic eggs
1275,butter
1851,mayonnaise
2305,whole milk
1905,onions
3732,salty snack
2724,specialty chocolate
3245,beverages
2005,yogurt
4643,photo/film
2538,seasonal products
1173,fruit/vegetable juice
1703,bottled water
3347,ice cream
1561,domestic eggs
1632,napkins
2995,shopping bags
1318,specialty bar
1133,rolls/buns
2357,specialty cheese
4007,bottled water
2383,yogurt
3128,bottled beer
1372,white bread
1839,waffles
3567,nut snack
3573,root vegetables
3765,soda
2875,soda
3737,chocolate
3535,rolls/buns
4288,whipped/sour cream
1334,bottled beer
2046,bottled water
1922,beverages
2184,bottled beer
2632,pot plants
2108,tropical fruit
2547,pet care
4720,curd
4008,root vegetables
1438,UHT-milk
3027,root vegetables
1342,frozen vegetables
4952,pastry
1218,rolls/buns
4804,whole milk
3319,salty snack
2459,canned beer
1123,rolls/buns
1827,soda
4769,grapes
3769,grapes
4713,bottled beer
1741,napkins
4238,packaged fruit/vegetables
4051,whole milk
4960,root vegetables
4602,frozen vegetables
3549,tropical fruit
2746,soups
2444,curd
3196,tropical fruit
4672,UHT-milk
3308,butter
3328,butter milk
4923,soups
2981,chocolate
3615,newspapers
1620,frozen dessert
2583,tropical fruit
1362,whole milk
2462,pastry
3198,pip fruit
3296,packaged fruit/vegetables
3447,whole milk
4001,candy
2082,pastry
1679,rolls/buns
3605,rolls/buns
3762,dessert
2375,pork
1617,soda
3399,other vegetables
1570,yogurt
1583,liquor
3348,whole milk
1427,soda
3041,shopping bags
1661,white wine
1076,butter
3545,berries
3593,whole milk
3891,newspapers
2115,soda
2480,yogurt
1532,citrus fruit
2530,yogurt
1803,yogurt
2604,bottled water
3595,cream cheese 
1442,butter
1515,soda
2899,cling film/bags
1845,root vegetables
4334,candy
3885,seasonal products
1474,cream cheese 
4783,whipped/sour cream
1379,onions
4217,soda
4281,soda
2690,other vegetables
2543,dessert
2300,white wine
4302,napkins
1930,candy
2834,yogurt
2307,hygiene articles
3894,root vegetables
1467,pickled vegetables
3952,brown bread
3016,long life bakery product
2118,pot plants
1940,beef
1430,yogurt
2738,whole milk
1565,shopping bags
4755,rolls/buns
1410,soda
3829,beef
3086,shopping bags
4780,brown bread
4085,newspapers
3236,herbs
2040,tropical fruit
2370,ice cream
4249,UHT-milk
2836,butter milk
1220,margarine
3520,canned beer
2566,pastry
2655,pastry
4147,flour
3364,specialty chocolate
2370,bottled beer
3809,dog food
3744,misc. beverages
1588,beverages
4304,pip fruit
2240,chocolate
3175,other vegetables
1231,sliced cheese
3599,beverages
3738,yogurt
1593,rolls/buns
1319,rice
2105,tropical fruit
2056,bottled water
3139,onions
1098,shopping bags
2601,margarine
2694,bottled beer
4524,root vegetables
1165,packaged fruit/vegetables
3705,root vegetables
1634,bottled water
2030,soda
4989,mustard
1715,white wine
4552,domestic eggs
1303,whole milk
1430,hamburger meat
4559,yogurt
3848,shopping bags
2162,pot plants
3719,other vegetables
3153,newspapers
4462,rolls/buns
2420,hard cheese
3971,hamburger meat
1611,yogurt
1225,whole milk
1554,tropical fruit
4624,sliced cheese
3337,whole milk
2265,soft cheese
4999,other vegetables
4102,newspapers
3853,tropical fruit
2265,white bread
2452,butter milk
2829,chewing gum
3926,white bread
3960,processed cheese
3980,root vegetables
1116,liquor
2663,semi-finished bread
2164,whole milk
3950,bottled water
1252,pot plants
4804,butter
4041,yogurt
1894,whole milk
4977,soft cheese
2171,soft cheese
3417,sugar
1175,shopping bags
4946,dog food
4662,rolls/buns
2869,root vegetables
4053,chicken
4574,margarine
1110,butter
4700,whole milk
2565,pip fruit
2468,rolls/buns
4836,sliced cheese
3504,white wine
1333,canned beer
4039,other vegetables
2077,butter
3519,root vegetables
2989,herbs
3737,pot plants
3558,whole milk
3036,root vegetables
3180,margarine
2978,beverages
3985,cling film/bags
4903,curd
2835,onions
3783,beverages
1486,onions
4589,whole milk
1132,other vegetables
4827,brown bread
3361,oil
4681,white bread
4197,pet care
3701,white bread
4195,root vegetables
3429,hard cheese
2430,root vegetables
4330,domestic eggs
1783,hamburger meat
4025,citrus fruit
3399,yogurt
4766,newspapers
3562,whole milk
2447,pot plants
1396,coffee
4633,bottled water
4695,soda
1706,waffles
3872,grapes
1444,root vegetables
4753,beef
4580,whole milk
2516,whole milk
2415,turkey
3925,root vegetables
4996,bottled water
4569,pip fruit
3509,tropical fruit
2252,curd
1634,yogurt
4112,popcorn
4042,salty snack
4473,cat food
3878,butter
2266,yogurt
3304,other vegetables
3757,mustard
3440,pip fruit
4328,salty snack
3737,packaged fruit/vegetables
3948,whole milk
3682,frozen fish
2827,domestic eggs
2650,other vegetables
1360,whole milk
3679,curd
4137,tea
4235,soda
3193,tropical fruit
1332,bottled water
4821,rolls/buns
1837,pot plants
3665,butter milk
2659,domestic eggs
1322,chewing gum
1599,pot plants
2933,herbs
3963,liquor (appetizer)
4178,yogurt
1052,yogurt
4693,butter
1329,detergent
3128,rolls/buns
1175,beef
2211,dessert
2093,pastry
4284,red/blush wine
4449,coffee
4269,citrus fruit
1962,tropical fruit
2250,other vegetables
1743,white bread
1583,pastry
4295,fruit/vegetable juice
1183,butter
2729,bottled water
4035,frozen vegetables
1608,shopping bags
1793,newspapers
2210,whole milk
1885,butter milk
1078,white bread
1016,oil
3077,pastry
3551,packaged fruit/vegetables
1158,butter
2443,soda
1395,beverages
2454,whole milk
3472,whipped/sour cream
3547,domestic eggs
1038,butter
3915,canned fruit
2719,berries
2234,waffles
1565,tea
1328,shopping bags
3398,citrus fruit
3687,herbs
1572,other vegetables
3460,frozen vegetables
2352,pastry
4816,other vegetables
1152,domestic eggs
1120,specialty bar
4258,chocolate
4336,soda
1395,salty snack
3581,baking powder
1762,bottled beer
2659,brown bread
4120,roll products 
2420,shopping bags
2816,root vegetables
1711,whole milk
2884,dessert
4153,fruit/vegetable juice
2184,curd
4381,other vegetables
2920,packaged fruit/vegetables
3967,root vegetables
3135,specialty bar
3459,sugar
2868,semi-finished bread
2989,pip fruit
1440,shopping bags
2796,dessert
1074,flower (seeds)
2565,frozen dessert
1197,chocolate
1971,fruit/vegetable juice
3327,bottled water
1168,frozen vegetables
2814,specialty bar
3298,whole milk
3728,frozen potato products
2116,yogurt
1139,misc. beverages
2463,soda
2978,hygiene articles
4525,hygiene articles
1213,bottled beer
4332,processed cheese
1729,pet care
1695,rolls/buns
3503,pip fruit
3686,whole milk
4264,popcorn
1545,white wine
3195,hygiene articles
1409,whole milk
2800,brown bread
4453,soda
4820,chocolate
3716,cake bar
3270,bottled water
3410,spread cheese
3651,newspapers
2049,grapes
3507,frozen meals
3184,fruit/vegetable juice
2648,root vegetables
1566,soda
4105,whipped/sour cream
3537,yogurt
2300,long life bakery product
3794,other vegetables
3756,packaged fruit/vegetables
4197,house keeping products
4661,salty snack
3738,flour
4567,root vegetables
2831,frozen dessert
4841,fruit/vegetable juice
1776,canned beer
1364,whipped/sour cream
1926,whole milk
3496,soda
1498,whole milk
4436,hygiene articles
4098,whole milk
4707,root vegetables
4358,chewing gum
3290,soda
1940,rolls/buns
3363,other vegetables
1782,napkins
2756,curd
4379,sugar
4686,other vegetables
1230,other vegetables
2918,bathroom cleaner
4604,margarine
4489,curd
4408,butter
1846,bottled beer
1658,butter
3046,whole milk
4528,yogurt
1132,whole milk
2386,sugar
4741,finished products
3971,rolls/buns
3029,shopping bags
2758,curd
3969,rolls/buns
2829,candles
4573,rolls/buns
4726,chicken
3929,spread cheese
1286,coffee
1648,pastry
1544,salty snack
2925,yogurt
1276,hard cheese
1908,butter
2519,whipped/sour cream
3096,soups
1001,curd
4699,curd
1417,salty snack
4034,whole milk
4711,whole milk
3584,whole milk
2981,whole milk
1820,brown bread
3793,whole milk
1965,other vegetables
4903,fruit/vegetable juice
1845,margarine
2384,tropical fruit
2584,soap
1193,root vegetables
4267,whole milk
2707,whole milk
3214,yogurt
1171,beverages
1950,whole milk
4737,root vegetables
3589,yogurt
2246,berries
2128,soda
3866,bottled water
1882,root vegetables
2574,seasonal products
2011,other vegetables
4223,other vegetables
2068,rolls/buns
3035,candles
2597,napkins
1306,frozen vegetables
1789,male cosmetics
1003,rolls/buns
3378,canned beer
4460,sliced cheese
1961,dish cleaner
4576,grapes
3061,berries
1016,red/blush wine
3528,rolls/buns
4566,butter
1979,frozen meals
3662,whole milk
2700,yogurt
2432,condensed milk
2693,yogurt
1456,domestic eggs
4081,rolls/buns
4588,bottled beer
1892,specialty bar
1922,pip fruit
1440,tropical fruit
1420,hygiene articles
2273,other vegetables
4910,pastry
4593,rolls/buns
1380,soda
4035,frozen dessert
3063,root vegetables
2558,rolls/buns
1744,soda
3162,bottled water
3216,newspapers
4783,yogurt
2592,bottled beer
3141,rolls/buns
2315,other vegetables
3318,cat food
4594,meat spreads
2428,white wine
4613,fruit/vegetable juice
1676,fruit/vegetable juice
1259,sliced cheese
3930,yogurt
3995,pip fruit
1038,butter
4794,soda
3960,whole milk
3077,vinegar
1161,whole milk
1800,brown bread
1717,other vegetables
1888,sliced cheese
2138,root vegetables
1866,bottled water
4745,canned fish
1269,whole milk
4721,rum
2885,nut snack
1435,hard cheese
1887,citrus fruit
4776,pip fruit
4313,seasonal products
3545,berries
2307,root vegetables
1215,semi-finished bread
1428,whole milk
4297,butter milk
1812,yogurt
2217,domestic eggs
2378,pastry
2397,newspapers
3419,soap
4131,female sanitary products
2220,bottled beer
3870,processed cheese
1483,specialty cheese
3449,rolls/buns
1959,yogurt
4825,butter
3289,beef
1256,butter
3369,UHT-milk
2191,butter milk
4645,bottled beer
3818,margarine
3857,light bulbs
3651,shopping bags
3689,onions
2361,other vegetables
2513,yogurt
2110,frozen meals
4895,pastry
2756,misc. beverages
1960,yogurt
3924,semi-finished bread
3020,white wine
4531,herbs
4901,fruit/vegetable juice
3787,yogurt
3688,rolls/buns
4717,brown bread
2210,domestic eggs
4152,pasta
4507,candy
1118,pickled vegetables
4953,coffee
4417,frozen meals
2358,hard cheese
3122,white bread
3920,napkins
4592,canned fish
1326,yogurt
3729,brown bread
2627,yogurt
3393,whole milk
4302,yogurt
1734,baking powder
3635,bottled beer
3232,white wine
2805,bottled water
2214,root vegetables
4725,white bread
4975,beverages
3393,coffee
4456,cream cheese 
4744,fruit/vegetable juice
1264,tropical fruit
3104,spices
4966,curd
4183,domestic eggs
3786,UHT-milk
3299,cream cheese 
1656,white bread
4753,seasonal products
2857,liquor (appetizer)
3692,packaged fruit/vegetables
2613,domestic eggs
3509,hygiene articles
3048,coffee
1160,coffee
2629,long life bakery product
1444,pickled vegetables
2578,curd
4184,semi-finished bread
3201,whole milk
3311,frozen vegetables
4294,cling film/bags
2283,shopping bags
3325,newspapers
3621,butter
1968,citrus fruit
3717,rolls/buns
4704,candy
3904,berries
2336,frozen meals
3546,rolls/buns
3797,other vegetables
4607,sliced cheese
4522,candles
4695,whole milk
4919,pastry
3289,rolls/buns
1200,rolls/buns
3789,root vegetables
1289,brown bread
2415,softener
1943,whole milk
3685,curd
3447,mustard
2164,other vegetables
4107,domestic eggs
2744,fruit/vegetable juice
1051,rolls/buns
2087,brown bread
1020,rolls/buns
4546,pip fruit
1182,pip fruit
2727,whipped/sour cream
4314,bottled beer
2745,oil
3147,Instant food products
2677,UHT-milk
2321,whole milk
4708,brown bread
3225,other vegetables
3401,root vegetables
3735,pet care
2486,yogurt
4790,newspapers
1730,rolls/buns
4724,whole milk
4951,whole milk
1341,berries
4519,frozen vegetables
2914,rolls/buns
3916,citrus fruit
4145,rolls/buns
3657,domestic eggs
2546,mustard
2738,root vegetables
1491,pork
3268,margarine
1820,ham
1923,other vegetables
2968,shopping bags
4970,pastry
4827,rolls/buns
3474,dishes
4417,fruit/vegetable juice
3061,domestic eggs
4364,butter
2887,whole milk
1292,pork
1693,pastry
2267,long life bakery product
2663,pastry
1551,yogurt
3421,yogurt
2785,whole milk
4326,sweet spreads
2871,root vegetables
4969,bottled water
3463,yogurt
1504,whole milk
2528,margarine
1959,semi-finished bread
2479,newspapers
4809,curd
4047,beverages
2781,yogurt
1837,root vegetables
3288,whole milk
1152,frozen meals
1641,whipped/sour cream
2685,other vegetables
3599,citrus fruit
2114,whole milk
2019,other vegetables
4019,grapes
3663,white bread
3170,yogurt
3537,curd
3918,beef
3507,pastry
4453,brown bread
2769,rolls/buns
4151,whole milk
2291,canned fish
1677,specialty chocolate
1499,frozen vegetables
2274,rolls/buns
2186,canned beer
4437,chewing gum
4856,specialty bar
3413,chocolate
4741,whole milk
4406,chewing gum
2601,specialty chocolate
4845,berries
3695,sliced cheese
2202,curd
1027,red/blush wine
1744,bottled beer
4864,pip fruit
3730,other vegetables
2127,pickled vegetables
2672,pastry
1930,specialty bar
3623,liquor
4082,root vegetables
4387,brown bread
4424,red/blush wine
3630,curd
2202,rolls/buns
3036,whole milk
4529,other vegetables
1968,frozen meals
1511,shopping bags
1503,whole milk
2091,onions
1651,bottled water
1553,mustard
4746,yogurt
2902,other vegetables
4205,whipped/sour cream
1508,canned beer
2403,yogurt
4705,canned beer
1285,hygiene articles
4238,onions
1938,rolls/buns
3402,dessert
4031,soda
1739,soda
2104,candy
4516,candy
3485,tropical fruit
4462,citrus fruit
2544,berries
2805,ice cream
2969,canned fish
3563,whole milk
2683,red/blush wine
3776,soda
1331,root vegetables
1498,dessert
3890,rolls/buns
4559,whole milk
2723,dishes
2925,cake bar
3684,chocolate
1770,shopping bags
3661,butter
1044,curd
3031,brown bread
3028,yogurt
3035,rolls/buns
3189,fruit/vegetable juice
3766,shopping bags
4540,beverages
4362,frozen vegetables
4355,bottled beer
1510,soda
4299,rolls/buns
1982,butter
3365,cat food
3653,red/blush wine
1795,whole milk
4693,whipped/sour cream
4219,long life bakery product
3636,whole milk
1595,soda
3196,whole milk
2657,frozen dessert
4656,grapes
4239,berries
1510,whole milk
3462,nut snack
3794,liquor (appetizer)
1408,soda
3686,other vegetables
2273,soft cheese
4693,female sanitary products
2597,onions
1551,curd
2888,brown bread
1631,herbs
3564,bottled water
4277,grapes
4410,salty snack
3455,soft cheese
2467,nuts/prunes
2235,processed cheese
2145,soda
3310,grapes
2876,chewing gum
3736,root vegetables
3402,sauces
1397,whipped/sour cream
3497,white bread
3044,UHT-milk
1296,yogurt
3999,rolls/buns
2492,whole milk
1572,candy
4224,brown bread
2352,shopping bags
3609,frozen meals
4142,beverages
2736,butter milk
2517,domestic eggs
4999,onions
4338,pickled vegetables
2215,cream cheese 
2745,other vegetables
2861,tropical fruit
